,SIC,descr_2dig,descr_4dig,color,US 1987 SIC 1,EMPLOYEES HERE,pct,pct2,Label
1004,9999.0,Public Administration,Nonclassifiable Establishments,#CD7CA4,9999.0,44608.0,0.06272189515511042,6.27,Nonclassifiable Establishments (6.27%)
930,8062.0,Services,General Medical and Surgical Hospitals,#FF0069,8062.0,38816.0,0.05457794750584573,5.46,General Medical and Surgical Hospitals (5.46%)
796,6282.0,"Finance, Insurance, And Real Estate",Investment Advice,#FFFF00,6282.0,29458.0,0.04141996026450957,4.14,Investment Advice (4.14%)
749,5812.0,Retail and wholesale trade,Eating Places,#FF9BCD,5812.0,27918.0,0.03925461506770922,3.93,Eating Places (3.93%)
941,8221.0,Services,"Colleges, Universities, and Professional Schools",#FF0069,8221.0,22457.0,0.031576076028925634,3.16,"Colleges, Universities, and Professional Schools (3.16%)"
939,8111.0,Services,Legal Services,#FF0069,8111.0,22364.0,0.03144531167613185,3.14,Legal Services (3.14%)
827,7011.0,Services,Hotels and Motels,#FF0069,7011.0,17134.0,0.02409157441686832,2.41,Hotels and Motels (2.41%)
920,8011.0,Services,Offices and Clinics of Doctors of Medicine,#FF0069,8011.0,16227.0,0.02281627046005149,2.28,Offices and Clinics of Doctors of Medicine (2.28%)
820,6726.0,"Finance, Insurance, And Real Estate","Unit Investment Trusts, Face-Amount Certificate Offices, and Closed-End Management Investment Offices",#FFFF00,6726.0,12980.0,0.018250766658745816,1.83,"Unit Investment Trusts, Face-Amount Certificate Offices, and Closed-End Management Investment Offices (1.83%)"
971,8742.0,Services,Management Consulting Services,#FF0069,8742.0,12681.0,0.01783035223417224,1.78,Management Consulting Services (1.78%)
813,6531.0,"Finance, Insurance, And Real Estate",Real Estate Agents and Managers,#FFFF00,6531.0,12048.0,0.01694031099418872,1.69,Real Estate Agents and Managers (1.69%)
826,6799.0,"Finance, Insurance, And Real Estate","Investors, Not Elsewhere Classified",#FFFF00,6799.0,11594.0,0.0163019559816255,1.63,"Investors, Not Elsewhere Classified (1.63%)"
819,6722.0,"Finance, Insurance, And Real Estate","Management Investment Offices, Open-End",#FFFF00,6722.0,11042.0,0.015525806274720439,1.55,"Management Investment Offices, Open-End (1.55%)"
777,6022.0,"Finance, Insurance, And Real Estate",State Commercial Banks,#FFFF00,6022.0,10966.0,0.015418945083190031,1.54,State Commercial Banks (1.54%)
621,4813.0,"Transportation, Communications, Electric, Gas, And Sanitary Services","Telephone Communications, Except Radiotelephone",#C3FF00,4813.0,10129.0,0.014242065908045944,1.42,"Telephone Communications, Except Radiotelephone (1.42%)"
