,SIC,descr_2dig,descr_4dig,color,US 1987 SIC 1,EMPLOYEES HERE,pct,pct2,Label
930,8062.0,Services,General Medical and Surgical Hospitals,#FF0069,8062.0,96383.0,0.07368105611832634,7.37,General Medical and Surgical Hospitals (7.37%)
941,8221.0,Services,"Colleges, Universities, and Professional Schools",#FF0069,8221.0,52648.0,0.0402473490399515,4.02,"Colleges, Universities, and Professional Schools (4.02%)"
1004,9999.0,Public Administration,Nonclassifiable Establishments,#CD7CA4,9999.0,45852.0,0.035052071269181286,3.51,Nonclassifiable Establishments (3.51%)
875,7382.0,Services,Security Systems Services,#FF0069,7382.0,39906.0,0.03050658545031729,3.05,Security Systems Services (3.05%)
920,8011.0,Services,Offices and Clinics of Doctors of Medicine,#FF0069,8011.0,37503.0,0.028669585379222404,2.87,Offices and Clinics of Doctors of Medicine (2.87%)
796,6282.0,"Finance, Insurance, And Real Estate",Investment Advice,#FFFF00,6282.0,28528.0,0.02180854682821259,2.18,Investment Advice (2.18%)
749,5812.0,Retail and wholesale trade,Eating Places,#FF9BCD,5812.0,24203.0,0.018502252484689754,1.85,Eating Places (1.85%)
878,7389.0,Services,"Business Services, Not Elsewhere Classified",#FF0069,7389.0,22436.0,0.017151449685844703,1.72,"Business Services, Not Elsewhere Classified (1.72%)"
818,6719.0,"Finance, Insurance, And Real Estate","Offices of Holding Companies, Not Elsewhere Classified",#FFFF00,6719.0,22056.0,0.016860954460286626,1.69,"Offices of Holding Companies, Not Elsewhere Classified (1.69%)"
971,8742.0,Services,Management Consulting Services,#FF0069,8742.0,21793.0,0.016659901185755645,1.67,Management Consulting Services (1.67%)
939,8111.0,Services,Legal Services,#FF0069,8111.0,20540.0,0.015702031402533883,1.57,Legal Services (1.57%)
801,6331.0,"Finance, Insurance, And Real Estate","Fire, Marine, and Casualty Insurance",#FFFF00,6331.0,19603.0,0.01498573133319726,1.5,"Fire, Marine, and Casualty Insurance (1.5%)"
938,8099.0,Services,"Health and Allied Services, Not Elsewhere Classified",#FF0069,8099.0,19544.0,0.014940628127123769,1.49,"Health and Allied Services, Not Elsewhere Classified (1.49%)"
962,8711.0,Services,Engineering Services,#FF0069,8711.0,18815.0,0.014383335970724198,1.44,Engineering Services (1.44%)
989,9431.0,Public Administration,Administration of Public Health Programs,#CD7CA4,9431.0,18213.0,0.013923130376550614,1.39,Administration of Public Health Programs (1.39%)
806,6411.0,"Finance, Insurance, And Real Estate","Insurance Agents, Brokers, and Service",#FFFF00,6411.0,17930.0,0.013706787879621837,1.37,"Insurance Agents, Brokers, and Service (1.37%)"
826,6799.0,"Finance, Insurance, And Real Estate","Investors, Not Elsewhere Classified",#FFFF00,6799.0,15931.0,0.01217863010096238,1.22,"Investors, Not Elsewhere Classified (1.22%)"
813,6531.0,"Finance, Insurance, And Real Estate",Real Estate Agents and Managers,#FFFF00,6531.0,14957.0,0.011434044970189839,1.14,Real Estate Agents and Managers (1.14%)
865,7371.0,Services,Computer Programming Services,#FF0069,7371.0,14950.0,0.011428693742350612,1.14,Computer Programming Services (1.14%)
827,7011.0,Services,Hotels and Motels,#FF0069,7011.0,13518.0,0.010333985418668598,1.03,Hotels and Motels (1.03%)
